Sample	ENTREZ.ID	Type
OCI-LY-19	57634	MUTATION
OCI-LY-19	57082	MUTATION
OCI-LY-19	9839	MUTATION
OCI-LY-19	7273	MUTATION
OCI-LY-19	7273	MUTATION
OCI-LY-19	2125	MUTATION
OCI-LY-19	7301	TRUNC
OCI-LY-19	7301	TRUNC
OCI-LY-19	64225	MUTATION
OCI-LY-19	4540	MUTATION
OCI-LY-19	8289	TRUNC
OCI-LY-19	140803	TRUNC
OCI-LY-19	91074	MUTATION
OCI-LY-19	113146	MUTATION
OCI-LY-19	9451	TRUNC
OCI-LY-19	9451	MUTATION
OCI-LY-19	576	TRUNC
Pfeiffer	6774	MUTATION
Pfeiffer	22999	MUTATION
Pfeiffer	391109	MUTATION
Pfeiffer	1482	MUTATION
Pfeiffer	4584	MUTATION
Pfeiffer	4584	MUTATION
Pfeiffer	1387	MUTATION
Pfeiffer	160851	TRUNC
Pfeiffer	8085	TRUNC
Pfeiffer	9510	MUTATION
Pfeiffer	3107	MUTATION
Pfeiffer	7402	MUTATION
Pfeiffer	285220	MUTATION
Pfeiffer	23262	MUTATION
Pfeiffer	79718	MUTATION
Pfeiffer	10018	MUTATION
Pfeiffer	1006	MUTATION
Pfeiffer	140453	MUTATION
Pfeiffer	114788	MUTATION
Pfeiffer	4261	MUTATION
Pfeiffer	25913	TRUNC
Pfeiffer	5966	MUTATION
Pfeiffer	29119	MUTATION
Pfeiffer	9044	TRUNC
Pfeiffer	84239	MUTATION
Pfeiffer	2146	MUTATION
OCI-LY3	133482	MUTATION
OCI-LY3	4734	MUTATION
OCI-LY3	604	MUTATION
OCI-LY3	604	MUTATION
OCI-LY3	26033	MUTATION
OCI-LY3	6689	MUTATION
OCI-LY3	9832	MUTATION
OCI-LY3	3123	MUTATION
OCI-LY3	25914	TRUNC
OCI-LY3	10859	MUTATION
OCI-LY3	7832	MUTATION
OCI-LY3	4584	MUTATION
OCI-LY3	3105	TRUNC
OCI-LY3	1840	MUTATION
OCI-LY3	89781	TRUNC
OCI-LY3	160851	MUTATION
OCI-LY3	120114	MUTATION
OCI-LY3	639	TRUNC
OCI-LY3	4036	MUTATION
OCI-LY3	440193	TRUNC
OCI-LY3	157680	MUTATION
OCI-LY3	57568	MUTATION
OCI-LY3	64770	MUTATION
OCI-LY3	84433	MUTATION
OCI-LY3	80169	MUTATION
OCI-LY3	6337	MUTATION
OCI-LY3	2195	MUTATION
OCI-LY3	94025	MUTATION
OCI-LY3	94025	MUTATION
OCI-LY3	5292	MUTATION
OCI-LY3	5292	TRUNC
OCI-LY3	57697	MUTATION
OCI-LY3	974	TRUNC
OCI-LY3	341640	MUTATION
OCI-LY3	7301	TRUNC
OCI-LY3	7301	TRUNC
OCI-LY3	7301	MUTATION
OCI-LY3	7301	TRUNC
OCI-LY3	7301	TRUNC
OCI-LY3	55193	MUTATION
OCI-LY3	2191	TRUNC
OCI-LY3	7776	MUTATION
OCI-LY3	100506736	MUTATION
OCI-LY3	80070	MUTATION
OCI-LY3	3119	MUTATION
OCI-LY3	10297	MUTATION
OCI-LY3	5587	MUTATION
OCI-LY3	5125	MUTATION
OCI-LY3	238	MUTATION
OCI-LY3	2120	TRUNC
OCI-LY3	6476	MUTATION
OCI-LY3	3662	MUTATION
OCI-LY3	129446	TRUNC
OCI-LY3	8997	MUTATION
SU-DHL-10	4609	MUTATION
SU-DHL-10	1297	MUTATION
SU-DHL-10	10859	TRUNC
SU-DHL-10	4584	MUTATION
SU-DHL-10	4584	MUTATION
SU-DHL-10	27253	MUTATION
SU-DHL-10	8764	TRUNC
SU-DHL-10	4650	MUTATION
SU-DHL-10	2736	MUTATION
SU-DHL-10	120114	MUTATION
SU-DHL-10	51086	MUTATION
SU-DHL-10	54674	MUTATION
SU-DHL-10	54674	MUTATION
SU-DHL-10	1794	MUTATION
SU-DHL-10	896	MUTATION
SU-DHL-10	2771	MUTATION
SU-DHL-10	2033	MUTATION
SU-DHL-10	2033	TRUNC
SU-DHL-10	57549	MUTATION
SU-DHL-10	5469	MUTATION
SU-DHL-10	1019	MUTATION
SU-DHL-10	119	MUTATION
SU-DHL-10	91746	TRUNC
SU-DHL-10	27164	MUTATION
SU-DHL-10	5789	MUTATION
SU-DHL-10	79925	MUTATION
SU-DHL-10	57616	MUTATION
SU-DHL-10	3394	TRUNC
SU-DHL-10	114876	MUTATION
SU-DHL-10	401399	MUTATION
SU-DHL-10	55137	TRUNC
SU-DHL-10	93432	TRUNC
SU-DHL-10	91584	MUTATION
SU-DHL-10	113146	MUTATION
SU-DHL-10	9969	MUTATION
SU-DHL-10	5310	MUTATION
SU-DHL-10	4538	MUTATION
SU-DHL-10	23025	MUTATION
SU-DHL-10	7157	TRUNC
SU-DHL-10	8701	MUTATION
SU-DHL-10	85302	MUTATION
SU-DHL-10	5728	MUTATION
SU-DHL-10	5728	MUTATION
SU-DHL-10	23499	MUTATION
SU-DHL-10	2146	MUTATION
Toledo	4609	MUTATION
Toledo	4609	MUTATION
Toledo	4609	MUTATION
Toledo	4609	MUTATION
Toledo	8356	MUTATION
Toledo	284656	MUTATION
Toledo	9757	MUTATION
Toledo	83660	MUTATION
Toledo	972	MUTATION
Toledo	1387	MUTATION
Toledo	27445	MUTATION
Toledo	27445	MUTATION
Toledo	9895	MUTATION
Toledo	6336	TRUNC
Toledo	22850	MUTATION
Toledo	23174	MUTATION
Toledo	8085	MUTATION
Toledo	9223	MUTATION
Toledo	56154	MUTATION
Toledo	896	TRUNC
Toledo	1282	MUTATION
Toledo	51313	MUTATION
Toledo	3107	MUTATION
Toledo	3107	MUTATION
Toledo	3107	MUTATION
Toledo	65250	MUTATION
Toledo	94025	MUTATION
Toledo	56999	MUTATION
Toledo	4625	MUTATION
Toledo	3007	MUTATION
Toledo	3007	MUTATION
Toledo	2066	TRUNC
Toledo	5314	MUTATION
Toledo	64324	MUTATION
Toledo	3845	MUTATION
Toledo	85236	MUTATION
Toledo	23469	MUTATION
Toledo	23469	TRUNC
Toledo	23469	TRUNC
Toledo	3993	MUTATION
Toledo	56776	MUTATION
Toledo	25981	MUTATION
Toledo	4792	MUTATION
Toledo	4792	MUTATION
Toledo	4297	MUTATION
Toledo	3119	MUTATION
Toledo	576	MUTATION
Toledo	238	MUTATION
Toledo	7157	TRUNC
Toledo	1767	TRUNC
NU-DUL-1	5339	MUTATION
NU-DUL-1	1844	MUTATION
NU-DUL-1	85449	MUTATION
NU-DUL-1	4585	MUTATION
NU-DUL-1	4585	MUTATION
NU-DUL-1	4585	MUTATION
NU-DUL-1	3482	MUTATION
NU-DUL-1	22806	MUTATION
NU-DUL-1	23094	MUTATION
NU-DUL-1	27445	TRUNC
NU-DUL-1	27445	MUTATION
NU-DUL-1	80731	MUTATION
NU-DUL-1	610	MUTATION
NU-DUL-1	8085	TRUNC
NU-DUL-1	8085	TRUNC
NU-DUL-1	5788	TRUNC
NU-DUL-1	1029	MUTATION
NU-DUL-1	5079	MUTATION
NU-DUL-1	25960	MUTATION
NU-DUL-1	4519	MUTATION
NU-DUL-1	4519	MUTATION
NU-DUL-1	3009	MUTATION
NU-DUL-1	123606	MUTATION
NU-DUL-1	123606	MUTATION
NU-DUL-1	8735	MUTATION
NU-DUL-1	23236	MUTATION
NU-DUL-1	93035	MUTATION
NU-DUL-1	64864	TRUNC
NU-DUL-1	89796	MUTATION
NU-DUL-1	3007	MUTATION
NU-DUL-1	80205	MUTATION
NU-DUL-1	23345	TRUNC
NU-DUL-1	3845	MUTATION
NU-DUL-1	27340	MUTATION
NU-DUL-1	5789	MUTATION
NU-DUL-1	3911	MUTATION
NU-DUL-1	7273	MUTATION
NU-DUL-1	1130	MUTATION
NU-DUL-1	140453	MUTATION
NU-DUL-1	114788	MUTATION
NU-DUL-1	114788	MUTATION
NU-DUL-1	51761	MUTATION
NU-DUL-1	28514	MUTATION
NU-DUL-1	148113	MUTATION
NU-DUL-1	4540	MUTATION
NU-DUL-1	7399	MUTATION
NU-DUL-1	10388	MUTATION
NU-DUL-1	1277	TRUNC
NU-DUL-1	283685	MUTATION
NU-DUL-1	7157	MUTATION
NU-DUL-1	7157	MUTATION
NU-DUL-1	9379	MUTATION
KARPAS-422	54798	MUTATION
KARPAS-422	63977	MUTATION
KARPAS-422	4585	MUTATION
KARPAS-422	4094	MUTATION
KARPAS-422	3105	MUTATION
KARPAS-422	79659	MUTATION
KARPAS-422	4214	MUTATION
KARPAS-422	9757	MUTATION
KARPAS-422	1387	TRUNC
KARPAS-422	1387	TRUNC
KARPAS-422	118788	MUTATION
KARPAS-422	27445	MUTATION
KARPAS-422	80731	MUTATION
KARPAS-422	84458	TRUNC
KARPAS-422	610	MUTATION
KARPAS-422	8085	TRUNC
KARPAS-422	1293	MUTATION
KARPAS-422	10075	MUTATION
KARPAS-422	6508	MUTATION
KARPAS-422	53942	TRUNC
KARPAS-422	4519	MUTATION
KARPAS-422	9760	TRUNC
KARPAS-422	10243	MUTATION
KARPAS-422	1654	MUTATION
KARPAS-422	84159	MUTATION
KARPAS-422	84159	MUTATION
KARPAS-422	3127	MUTATION
KARPAS-422	2033	TRUNC
KARPAS-422	667	MUTATION
KARPAS-422	667	TRUNC
KARPAS-422	4298	MUTATION
KARPAS-422	84433	MUTATION
KARPAS-422	84433	MUTATION
KARPAS-422	7402	MUTATION
KARPAS-422	283463	MUTATION
KARPAS-422	1769	TRUNC
KARPAS-422	285220	MUTATION
KARPAS-422	2804	MUTATION
KARPAS-422	1768	MUTATION
KARPAS-422	1778	MUTATION
KARPAS-422	388015	MUTATION
KARPAS-422	84467	MUTATION
KARPAS-422	596	MUTATION
KARPAS-422	596	MUTATION
KARPAS-422	2918	MUTATION
KARPAS-422	2918	TRUNC
KARPAS-422	94025	MUTATION
KARPAS-422	94025	MUTATION
KARPAS-422	10672	TRUNC
KARPAS-422	10672	MUTATION
KARPAS-422	2037	MUTATION
KARPAS-422	23592	MUTATION
KARPAS-422	8425	MUTATION
KARPAS-422	5314	TRUNC
KARPAS-422	285313	MUTATION
KARPAS-422	7273	MUTATION
KARPAS-422	7273	MUTATION
KARPAS-422	7273	MUTATION
KARPAS-422	6334	MUTATION
KARPAS-422	2308	MUTATION
KARPAS-422	1832	MUTATION
KARPAS-422	5707	MUTATION
KARPAS-422	91156	MUTATION
KARPAS-422	1756	MUTATION
KARPAS-422	1740	MUTATION
KARPAS-422	6926	MUTATION
KARPAS-422	53904	TRUNC
KARPAS-422	63971	MUTATION
KARPAS-422	9472	MUTATION
KARPAS-422	401024	MUTATION
KARPAS-422	355	MUTATION
KARPAS-422	199713	MUTATION
KARPAS-422	4588	MUTATION
KARPAS-422	8289	TRUNC
KARPAS-422	140803	MUTATION
KARPAS-422	84329	TRUNC
KARPAS-422	4035	MUTATION
KARPAS-422	4035	MUTATION
KARPAS-422	23505	MUTATION
KARPAS-422	29760	TRUNC
KARPAS-422	56132	MUTATION
KARPAS-422	23025	MUTATION
KARPAS-422	10603	MUTATION
KARPAS-422	144132	MUTATION
KARPAS-422	238	MUTATION
KARPAS-422	7157	TRUNC
KARPAS-422	4360	MUTATION
KARPAS-422	9026	MUTATION
KARPAS-422	4703	MUTATION
KARPAS-422	1879	MUTATION
KARPAS-422	64072	MUTATION
KARPAS-422	25878	TRUNC
KARPAS-422	29994	TRUNC
KARPAS-422	5728	TRUNC
KARPAS-422	2146	MUTATION
DB	10464	MUTATION
DB	168507	MUTATION
DB	3109	MUTATION
DB	54798	TRUNC
DB	6263	MUTATION
DB	10735	MUTATION
DB	127602	TRUNC
DB	163259	MUTATION
DB	3882	MUTATION
DB	55607	MUTATION
DB	4253	MUTATION
DB	4585	MUTATION
DB	2201	MUTATION
DB	8642	MUTATION
DB	6336	MUTATION
DB	120114	MUTATION
DB	84458	TRUNC
DB	8085	TRUNC
DB	8085	TRUNC
DB	9745	MUTATION
DB	613	MUTATION
DB	613	MUTATION
DB	4208	MUTATION
DB	54674	MUTATION
DB	23112	MUTATION
DB	389763	MUTATION
DB	10243	TRUNC
DB	6098	MUTATION
DB	283463	MUTATION
DB	8913	MUTATION
DB	6337	MUTATION
DB	139378	MUTATION
DB	1287	MUTATION
DB	1778	MUTATION
DB	79882	MUTATION
DB	607	TRUNC
DB	394263	MUTATION
DB	23261	TRUNC
DB	10672	MUTATION
DB	81327	MUTATION
DB	81327	MUTATION
DB	9735	MUTATION
DB	781	MUTATION
DB	23317	MUTATION
DB	100271849	MUTATION
DB	1006	MUTATION
DB	2125	MUTATION
DB	341640	MUTATION
DB	203447	MUTATION
DB	3394	TRUNC
DB	148113	MUTATION
DB	9723	MUTATION
DB	80243	MUTATION
DB	54551	MUTATION
DB	56884	MUTATION
DB	401024	MUTATION
DB	64478	TRUNC
DB	3993	MUTATION
DB	116804918	MUTATION
DB	6561	MUTATION
DB	4851	Synon
DB	2261	TRUNC
DB	10795	MUTATION
DB	285175	MUTATION
DB	6840	MUTATION
DB	8242	MUTATION
DB	3119	MUTATION
DB	3119	MUTATION
DB	26960	MUTATION
DB	166752	MUTATION
DB	9258	MUTATION
DB	8455	MUTATION
DB	4330	MUTATION
DB	7157	MUTATION
DB	7157	MUTATION
DB	11025	MUTATION
DB	307	MUTATION
DB	3718	TRUNC
DB	10319	MUTATION
DB	2146	MUTATION
SU-DHL-4	54798	MUTATION
SU-DHL-4	4734	MUTATION
SU-DHL-4	55567	MUTATION
SU-DHL-4	202333	TRUNC
SU-DHL-4	10859	MUTATION
SU-DHL-4	4585	MUTATION
SU-DHL-4	9739	MUTATION
SU-DHL-4	8764	MUTATION
SU-DHL-4	57685	MUTATION
SU-DHL-4	23049	MUTATION
SU-DHL-4	921	MUTATION
SU-DHL-4	2312	MUTATION
SU-DHL-4	57701	MUTATION
SU-DHL-4	5788	MUTATION
SU-DHL-4	5788	MUTATION
SU-DHL-4	5788	TRUNC
SU-DHL-4	57519	MUTATION
SU-DHL-4	57221	TRUNC
SU-DHL-4	1794	MUTATION
SU-DHL-4	389763	MUTATION
SU-DHL-4	1654	MUTATION
SU-DHL-4	2771	MUTATION
SU-DHL-4	162962	MUTATION
SU-DHL-4	596	MUTATION
SU-DHL-4	31	MUTATION
SU-DHL-4	339479	MUTATION
SU-DHL-4	388698	MUTATION
SU-DHL-4	388698	MUTATION
SU-DHL-4	83872	MUTATION
SU-DHL-4	8425	MUTATION
SU-DHL-4	1770	MUTATION
SU-DHL-4	85358	MUTATION
SU-DHL-4	100271849	MUTATION
SU-DHL-4	54897	MUTATION
SU-DHL-4	7514	MUTATION
SU-DHL-4	23036	MUTATION
SU-DHL-4	140453	MUTATION
SU-DHL-4	53353	MUTATION
SU-DHL-4	8189	MUTATION
SU-DHL-4	4261	MUTATION
SU-DHL-4	2737	MUTATION
SU-DHL-4	9472	MUTATION
SU-DHL-4	8776	MUTATION
SU-DHL-4	84329	MUTATION
SU-DHL-4	113146	MUTATION
SU-DHL-4	113146	MUTATION
SU-DHL-4	3908	MUTATION
SU-DHL-4	22859	MUTATION
SU-DHL-4	6840	MUTATION
SU-DHL-4	26960	MUTATION
SU-DHL-4	4538	MUTATION
SU-DHL-4	4330	MUTATION
SU-DHL-4	7157	MUTATION
SU-DHL-4	8701	MUTATION
SU-DHL-4	6476	MUTATION
SU-DHL-4	6092	MUTATION
SU-DHL-4	9699	MUTATION
SU-DHL-4	2146	MUTATION
SU-DHL-4	2146	MUTATION
RL	7916	MUTATION
RL	154664	TRUNC
RL	154664	MUTATION
RL	7071	MUTATION
RL	287	MUTATION
RL	2917	MUTATION
RL	10859	MUTATION
RL	4585	MUTATION
RL	54875	TRUNC
RL	4216	MUTATION
RL	3781	MUTATION
RL	4650	MUTATION
RL	921	MUTATION
RL	57701	MUTATION
RL	6586	MUTATION
RL	84700	MUTATION
RL	440193	MUTATION
RL	11027	MUTATION
RL	4519	MUTATION
RL	57568	MUTATION
RL	54674	MUTATION
RL	1794	MUTATION
RL	2771	MUTATION
RL	57182	MUTATION
RL	2033	TRUNC
RL	2033	MUTATION
RL	2033	MUTATION
RL	57670	TRUNC
RL	283463	MUTATION
RL	8821	TRUNC
RL	23325	MUTATION
RL	201625	MUTATION
RL	79776	MUTATION
RL	2195	MUTATION
RL	94025	TRUNC
RL	94025	MUTATION
RL	114784	MUTATION
RL	9780	MUTATION
RL	51735	MUTATION
RL	259266	MUTATION
RL	54467	MUTATION
RL	57683	MUTATION
RL	1834	MUTATION
RL	9894	MUTATION
RL	5671	MUTATION
RL	8660	MUTATION
RL	8660	MUTATION
RL	2308	MUTATION
RL	22994	MUTATION
RL	26278	MUTATION
RL	64225	MUTATION
RL	10395	TRUNC
RL	58508	TRUNC
RL	58508	TRUNC
RL	221264	MUTATION
RL	56884	TRUNC
RL	162979	MUTATION
RL	25981	TRUNC
RL	25981	TRUNC
RL	151449	MUTATION
RL	11006	MUTATION
RL	91074	TRUNC
RL	3575	TRUNC
RL	113146	MUTATION
RL	113146	MUTATION
RL	3908	MUTATION
RL	10388	MUTATION
RL	4583	MUTATION
RL	56144	MUTATION
RL	8844	MUTATION
RL	3008	MUTATION
RL	219578	MUTATION
RL	7157	MUTATION
RL	134430	MUTATION
RL	10319	MUTATION
RL	11078	MUTATION
RL	1806	MUTATION
RL	256158	MUTATION
RL	1767	MUTATION
RL	5728	MUTATION
RL	5728	MUTATION
RL	65125	MUTATION
RL	64881	MUTATION
RL	2146	MUTATION
NU-DHL-1	4609	MUTATION
NU-DHL-1	1301	TRUNC
NU-DHL-1	26037	MUTATION
NU-DHL-1	55567	TRUNC
NU-DHL-1	4584	MUTATION
NU-DHL-1	1657	MUTATION
NU-DHL-1	677	MUTATION
NU-DHL-1	4216	MUTATION
NU-DHL-1	83660	TRUNC
NU-DHL-1	91752	MUTATION
NU-DHL-1	1387	MUTATION
NU-DHL-1	1387	TRUNC
NU-DHL-1	577	MUTATION
NU-DHL-1	22989	MUTATION
NU-DHL-1	57701	MUTATION
NU-DHL-1	157680	MUTATION
NU-DHL-1	165904	MUTATION
NU-DHL-1	896	MUTATION
NU-DHL-1	667	MUTATION
NU-DHL-1	157310	MUTATION
NU-DHL-1	596	MUTATION
NU-DHL-1	94025	MUTATION
NU-DHL-1	56130	MUTATION
NU-DHL-1	146754	MUTATION
NU-DHL-1	27255	TRUNC
NU-DHL-1	777	MUTATION
NU-DHL-1	6778	MUTATION
NU-DHL-1	3845	MUTATION
NU-DHL-1	27164	MUTATION
NU-DHL-1	284217	MUTATION
NU-DHL-1	6091	MUTATION
NU-DHL-1	5671	MUTATION
NU-DHL-1	7273	MUTATION
NU-DHL-1	283417	MUTATION
NU-DHL-1	7514	MUTATION
NU-DHL-1	22994	MUTATION
NU-DHL-1	53353	MUTATION
NU-DHL-1	11141	MUTATION
NU-DHL-1	340260	MUTATION
NU-DHL-1	163223	MUTATION
NU-DHL-1	2737	MUTATION
NU-DHL-1	9369	MUTATION
NU-DHL-1	1859	MUTATION
NU-DHL-1	131096	MUTATION
NU-DHL-1	8621	TRUNC
NU-DHL-1	9928	MUTATION
NU-DHL-1	5649	MUTATION
NU-DHL-1	7757	MUTATION
NU-DHL-1	7461	MUTATION
NU-DHL-1	10795	TRUNC
NU-DHL-1	7157	MUTATION
NU-DHL-1	11025	MUTATION
NU-DHL-1	9508	TRUNC
NU-DHL-1	54880	TRUNC
NU-DHL-1	4541	MUTATION
RI-1	57688	MUTATION
RI-1	57688	MUTATION
RI-1	51332	MUTATION
RI-1	10735	TRUNC
RI-1	284656	MUTATION
RI-1	1080	MUTATION
RI-1	4041	MUTATION
RI-1	357	MUTATION
RI-1	1387	TRUNC
RI-1	4619	MUTATION
RI-1	120114	MUTATION
RI-1	1029	TRUNC
RI-1	643677	MUTATION
RI-1	1308	MUTATION
RI-1	6543	MUTATION
RI-1	84527	MUTATION
RI-1	2195	MUTATION
RI-1	394263	MUTATION
RI-1	6453	MUTATION
RI-1	94025	MUTATION
RI-1	1901	MUTATION
RI-1	4853	TRUNC
RI-1	340260	MUTATION
RI-1	9014	MUTATION
RI-1	80144	MUTATION
RI-1	4540	MUTATION
RI-1	84125	MUTATION
RI-1	8289	TRUNC
RI-1	9847	MUTATION
RI-1	5310	MUTATION
RI-1	4330	MUTATION
RI-1	7157	TRUNC
RI-1	7157	MUTATION
RI-1	7082	MUTATION
RI-1	6092	TRUNC
RI-1	1288	MUTATION
RI-1	1767	MUTATION
WSU-DLCL2	55619	MUTATION
WSU-DLCL2	4253	MUTATION
WSU-DLCL2	287	MUTATION
WSU-DLCL2	3123	MUTATION
WSU-DLCL2	4041	MUTATION
WSU-DLCL2	7089	MUTATION
WSU-DLCL2	2201	MUTATION
WSU-DLCL2	1387	TRUNC
WSU-DLCL2	8764	TRUNC
WSU-DLCL2	5783	MUTATION
WSU-DLCL2	3707	MUTATION
WSU-DLCL2	120114	MUTATION
WSU-DLCL2	23174	MUTATION
WSU-DLCL2	2312	MUTATION
WSU-DLCL2	3106	MUTATION
WSU-DLCL2	4519	MUTATION
WSU-DLCL2	1654	TRUNC
WSU-DLCL2	84464	MUTATION
WSU-DLCL2	3107	MUTATION
WSU-DLCL2	7402	MUTATION
WSU-DLCL2	26053	MUTATION
WSU-DLCL2	5469	MUTATION
WSU-DLCL2	2195	MUTATION
WSU-DLCL2	596	MUTATION
WSU-DLCL2	596	MUTATION
WSU-DLCL2	394263	MUTATION
WSU-DLCL2	94025	MUTATION
WSU-DLCL2	286077	MUTATION
WSU-DLCL2	23261	MUTATION
WSU-DLCL2	10672	MUTATION
WSU-DLCL2	10672	TRUNC
WSU-DLCL2	6331	MUTATION
WSU-DLCL2	54617	TRUNC
WSU-DLCL2	57575	TRUNC
WSU-DLCL2	81624	MUTATION
WSU-DLCL2	53353	MUTATION
WSU-DLCL2	51196	TRUNC
WSU-DLCL2	7399	MUTATION
WSU-DLCL2	3192	MUTATION
WSU-DLCL2	10863	MUTATION
WSU-DLCL2	7461	MUTATION
WSU-DLCL2	7157	MUTATION
WSU-DLCL2	80204	TRUNC
WSU-DLCL2	25878	MUTATION
WSU-DLCL2	23224	MUTATION
WSU-DLCL2	85302	MUTATION
WSU-DLCL2	65125	MUTATION
WSU-DLCL2	2146	MUTATION
SU-DHL-6	1462	MUTATION
SU-DHL-6	730291	MUTATION
SU-DHL-6	10060	MUTATION
SU-DHL-6	55619	MUTATION
SU-DHL-6	5189	MUTATION
SU-DHL-6	148206	MUTATION
SU-DHL-6	63977	MUTATION
SU-DHL-6	85449	MUTATION
SU-DHL-6	4585	MUTATION
SU-DHL-6	4584	MUTATION
SU-DHL-6	50512	MUTATION
SU-DHL-6	56163	MUTATION
SU-DHL-6	83660	MUTATION
SU-DHL-6	100423062	MUTATION
SU-DHL-6	1387	TRUNC
SU-DHL-6	160851	TRUNC
SU-DHL-6	2736	MUTATION
SU-DHL-6	84162	MUTATION
SU-DHL-6	5783	MUTATION
SU-DHL-6	91133	TRUNC
SU-DHL-6	1912	MUTATION
SU-DHL-6	8085	TRUNC
SU-DHL-6	8085	TRUNC
SU-DHL-6	23530	MUTATION
SU-DHL-6	10075	MUTATION
SU-DHL-6	3106	MUTATION
SU-DHL-6	3106	MUTATION
SU-DHL-6	3106	MUTATION
SU-DHL-6	3006	TRUNC
SU-DHL-6	1794	MUTATION
SU-DHL-6	2033	MUTATION
SU-DHL-6	8924	MUTATION
SU-DHL-6	5469	MUTATION
SU-DHL-6	55388	MUTATION
SU-DHL-6	2195	MUTATION
SU-DHL-6	596	MUTATION
SU-DHL-6	3054	MUTATION
SU-DHL-6	10672	TRUNC
SU-DHL-6	5579	MUTATION
SU-DHL-6	7771	MUTATION
SU-DHL-6	375616	MUTATION
SU-DHL-6	10347	MUTATION
SU-DHL-6	3603	MUTATION
SU-DHL-6	7273	MUTATION
SU-DHL-6	7273	TRUNC
SU-DHL-6	221395	MUTATION
SU-DHL-6	59269	MUTATION
SU-DHL-6	79906	TRUNC
SU-DHL-6	6328	MUTATION
SU-DHL-6	4540	MUTATION
SU-DHL-6	8289	TRUNC
SU-DHL-6	9742	MUTATION
SU-DHL-6	84329	TRUNC
SU-DHL-6	84329	MUTATION
SU-DHL-6	5649	MUTATION
SU-DHL-6	5116	MUTATION
SU-DHL-6	55544	TRUNC
SU-DHL-6	57690	MUTATION
SU-DHL-6	6840	MUTATION
SU-DHL-6	338	MUTATION
SU-DHL-6	3008	MUTATION
SU-DHL-6	7157	MUTATION
SU-DHL-6	7157	TRUNC
SU-DHL-6	2318	MUTATION
SU-DHL-6	4586	MUTATION
SU-DHL-6	27324	MUTATION
SU-DHL-6	222584	MUTATION
SU-DHL-6	10594	TRUNC
SU-DHL-6	2153	MUTATION
SU-DHL-6	23224	MUTATION
SU-DHL-6	7468	MUTATION
SU-DHL-6	2146	MUTATION
SU-DHL-8	1462	MUTATION
SU-DHL-8	4609	MUTATION
SU-DHL-8	3782	MUTATION
SU-DHL-8	65083	MUTATION
SU-DHL-8	57580	MUTATION
SU-DHL-8	23230	MUTATION
SU-DHL-8	152831	MUTATION
SU-DHL-8	4584	MUTATION
SU-DHL-8	79659	MUTATION
SU-DHL-8	4214	MUTATION
SU-DHL-8	677	MUTATION
SU-DHL-8	131873	MUTATION
SU-DHL-8	8317	MUTATION
SU-DHL-8	1387	MUTATION
SU-DHL-8	292	MUTATION
SU-DHL-8	4650	MUTATION
SU-DHL-8	91133	TRUNC
SU-DHL-8	8085	TRUNC
SU-DHL-8	5788	TRUNC
SU-DHL-8	157680	TRUNC
SU-DHL-8	165904	MUTATION
SU-DHL-8	6299	MUTATION
SU-DHL-8	57182	MUTATION
SU-DHL-8	64770	MUTATION
SU-DHL-8	57520	MUTATION
SU-DHL-8	23325	MUTATION
SU-DHL-8	4294	MUTATION
SU-DHL-8	83889	MUTATION
SU-DHL-8	285220	MUTATION
